abbr_name,ra,dec,full_name
And,0.141,0.7,Andromeda
Ant,2.68,-0.58,Antlia
Aps,4.05,-1.36,Apus
Aqr,5.87,-0.17,Aquarius
Aql,5.16,0.06,Aquila
Ara,4.553,-0.935,Ara
Ari,0.62,0.351,Aries
Aur,1.475,0.728,Auriga
Boo,3.856,0.536,Boötes
Cae,1.236,-0.684,Caelum
Cam,1.508,1.226,Camelopardalis
Cnc,2.275,0.352,Cancer
CVn,3.445,0.718,Canes Venatici
CMa,1.796,-0.384,Canis Major
CMi,1.95,0.11,Canis Minor
Cap,5.503,-0.353,Capricornus
Car,2.48,-1.12,Carina
Cas,0.264,1.086,Cassiopeia
Cen,3.437,-0.802,Centaurus
Cep,5.78,1.18,Cepheus
Cet,0.372,-0.23,Cetus
Cha,2.6,-1.4,Chamaeleon
Cir,3.948,-1.03,Circinus
Col,1.535,-0.66,Columba
Com,3.341,0.381,Coma Berenices
CrA,4.9,-0.69,Corona Australis
CrB,4.16,0.562,Corona Borealis
Crv,3.24,-0.355,Corvus
Crt,2.992,-0.295,Crater
Cru,3.259,-1.08,Crux
Cyg,5.28,0.734,Cygnus
Del,5.39,0.22,Delphinus
Dor,1.3,-1.03,Dorado
Dra,4.647,1.091,Draco
Equ,5.553,0.13,Equuleus
Eri,1.075,-0.32,Eridanus
For,0.71,-0.552,Fornax
Gem,1.85,0.43,Gemini
Gru,5.96,-0.76,Grus
Her,4.47,0.48,Hercules
Hor,0.85,-0.922,Horologium
Hya,2.649,-0.338,Hydra
Hyi,0.55,-1.262,Hydrus
Ind,5.545,-0.973,Indus
Lac,5.88,0.795,Lacerta
Leo,2.791,0.287,Leo
LMi,2.697,0.614,Leo Minor
Lep,1.461,-0.337,Lepus
Lib,3.982,-0.3,Libra
Lup,4.032,-0.75,Lupus
Lyn,2.102,0.8,Lynx
Lyr,4.902,0.61,Lyra
Men,1.411,-1.358,Mensa
Mic,5.49,-0.614,Microscopium
Mon,1.872,-0.1,Monoceros
Mus,3.262,-1.235,Musca
Nor,4.202,-0.908,Norma
Oct,5.579,-1.5,Octans
Oph,4.485,-0.06,Ophiuchus
Ori,1.476,0.08,Orion
Pav,5.09,-1.154,Pavo
Peg,6.14,0.35,Pegasus
Per,0.95,0.76,Perseus
Phe,0.183,-0.848,Phoenix
Pic,1.49,-0.96,Pictor
Psc,0.223,0.193,Pisces
PsA,5.855,-0.56,Piscis Austrinus
Pup,2.01,-0.64,Puppis
Pyx,2.345,-0.56,Pyxis
Ret,1.016,-1.067,Reticulum
Sge,5.22,0.3,Sagitta
Sgr,4.95,-0.43,Sagittarius
Sco,4.448,-0.649,Scorpius
Scl,0.03,-0.565,Sculptor
Sct,4.86,-0.185,Scutum
Ser,4.113,0.158,Serpens
Sex,2.685,-0.078,Sextans
Tau,1.048,0.309,Taurus
Tel,5.055,-0.881,Telescopium
Tri,0.552,0.559,Triangulum
TrA,4.21,-1.15,Triangulum Australe
Tuc,6.1,-1.1,Tucana
UMa,2.83,0.902,Ursa Major
UMi,3.969,1.338,Ursa Minor
Vel,2.5,-0.84,Vela
Vir,3.458,-0.065,Virgo
Vol,2.055,-1.215,Volans
Vul,5.3,0.433,Vulpecula
